# D_loss, G_loss
1.383902668952941895e+00,6.436156630516052246e-01
1.393897294998168945e+00,6.519886851310729980e-01
1.375835180282592773e+00,6.564655900001525879e-01
1.401055335998535156e+00,6.457870006561279297e-01
1.386206507682800293e+00,6.481508016586303711e-01
1.371851921081542969e+00,6.491148471832275391e-01
1.376266241073608398e+00,6.445875763893127441e-01
1.375790834426879883e+00,6.476681232452392578e-01
1.385178685188293457e+00,6.499761343002319336e-01
1.384238958358764648e+00,6.457074880599975586e-01
1.384075284004211426e+00,6.430792808532714844e-01
1.392943263053894043e+00,6.710313558578491211e-01
1.376981258392333984e+00,6.510278582572937012e-01
1.378753185272216797e+00,6.406286954879760742e-01
1.378997921943664551e+00,6.439615488052368164e-01
1.392684459686279297e+00,6.451352238655090332e-01
1.387176990509033203e+00,6.481503248214721680e-01
1.379685878753662109e+00,6.467424631118774414e-01
1.392523646354675293e+00,6.489847898483276367e-01
1.374998211860656738e+00,6.510035395622253418e-01
1.382063150405883789e+00,6.487005949020385742e-01
1.409292221069335938e+00,6.498721837997436523e-01
1.387868404388427734e+00,6.519597172737121582e-01
1.395978689193725586e+00,6.771496534347534180e-01
1.366775751113891602e+00,6.477541923522949219e-01
1.378649950027465820e+00,6.587117910385131836e-01
1.388546228408813477e+00,6.545981764793395996e-01
1.382809877395629883e+00,6.552436947822570801e-01
1.378539919853210449e+00,6.510611772537231445e-01
1.385322570800781250e+00,6.502400636672973633e-01
1.356746554374694824e+00,6.548858880996704102e-01
1.377475261688232422e+00,6.548258662223815918e-01
1.367406010627746582e+00,6.546199321746826172e-01
1.373744726181030273e+00,6.592891812324523926e-01
1.367870330810546875e+00,6.571940779685974121e-01
1.384055614471435547e+00,6.564830541610717773e-01
1.396067142486572266e+00,6.575111150741577148e-01
1.368665695190429688e+00,6.570093631744384766e-01
1.383985996246337891e+00,6.741806268692016602e-01
1.376619815826416016e+00,6.605051755905151367e-01
1.387242436408996582e+00,6.560020446777343750e-01
1.367681980133056641e+00,6.451840996742248535e-01
1.363431692123413086e+00,6.571139693260192871e-01
1.377531647682189941e+00,6.572510004043579102e-01
1.374071359634399414e+00,6.612284183502197266e-01
1.382314324378967285e+00,6.523528099060058594e-01
1.365765810012817383e+00,6.534836292266845703e-01
1.383008956909179688e+00,6.582712531089782715e-01
1.379200696945190430e+00,6.559276580810546875e-01
1.385817766189575195e+00,6.699769496917724609e-01
1.356538534164428711e+00,6.694300770759582520e-01
1.383580088615417480e+00,6.551987528800964355e-01
1.375189065933227539e+00,6.574703454971313477e-01
1.364311575889587402e+00,6.595684289932250977e-01
1.382561683654785156e+00,6.559331417083740234e-01
1.385538339614868164e+00,6.720459461212158203e-01
1.372732162475585938e+00,6.534700393676757812e-01
1.384971737861633301e+00,6.542261242866516113e-01
1.372104525566101074e+00,6.583549380302429199e-01
1.371234416961669922e+00,6.534420847892761230e-01
1.376254558563232422e+00,6.463941931724548340e-01
1.372821331024169922e+00,6.461772918701171875e-01
1.393321275711059570e+00,6.534616351127624512e-01
1.381058454513549805e+00,6.823213100433349609e-01
1.374556303024291992e+00,6.568386554718017578e-01
1.376259446144104004e+00,6.548703908920288086e-01
1.359091877937316895e+00,6.592264175415039062e-01
1.379320859909057617e+00,6.531330347061157227e-01
1.369278192520141602e+00,6.539502739906311035e-01
1.391440629959106445e+00,6.547353267669677734e-01
1.385482549667358398e+00,6.560853719711303711e-01
1.363691568374633789e+00,6.559113860130310059e-01
1.385047435760498047e+00,6.450847983360290527e-01
1.379396200180053711e+00,6.514930725097656250e-01
1.380220413208007812e+00,6.522358059883117676e-01
1.382031679153442383e+00,6.479192972183227539e-01
1.377593040466308594e+00,6.545231342315673828e-01
1.377183675765991211e+00,6.575193405151367188e-01
1.371381759643554688e+00,6.525634527206420898e-01
1.379403710365295410e+00,6.559301018714904785e-01
1.397428274154663086e+00,6.483268141746520996e-01
1.377805709838867188e+00,6.569898724555969238e-01
1.370357155799865723e+00,6.534430980682373047e-01
1.384514093399047852e+00,6.515405774116516113e-01
1.366903424263000488e+00,6.625288128852844238e-01
1.374112129211425781e+00,6.544356346130371094e-01
1.380884408950805664e+00,6.602826118469238281e-01
1.354979991912841797e+00,6.742107868194580078e-01
1.375074386596679688e+00,6.587949991226196289e-01
1.371124148368835449e+00,6.598088741302490234e-01
1.368248462677001953e+00,6.516809463500976562e-01
1.380100965499877930e+00,6.548082828521728516e-01
1.373932719230651855e+00,6.628363132476806641e-01
1.374485015869140625e+00,6.572072505950927734e-01
1.375272035598754883e+00,6.588854789733886719e-01
1.372894525527954102e+00,6.628289222717285156e-01
1.379976272583007812e+00,6.546155810356140137e-01
1.368688941001892090e+00,6.528538465499877930e-01
1.365323305130004883e+00,6.613026857376098633e-01
1.381563425064086914e+00,6.477805972099304199e-01
1.361113071441650391e+00,6.608561873435974121e-01
1.384004831314086914e+00,6.615597605705261230e-01
1.377915382385253906e+00,6.546548604965209961e-01
1.387756586074829102e+00,6.613836884498596191e-01
1.360052585601806641e+00,6.583975553512573242e-01
1.371198654174804688e+00,6.581691503524780273e-01
1.375499963760375977e+00,6.529841423034667969e-01
1.377527117729187012e+00,6.536210775375366211e-01
1.384564876556396484e+00,6.570875644683837891e-01
1.378267765045166016e+00,6.563827991485595703e-01
1.385335326194763184e+00,6.484040021896362305e-01
1.365763187408447266e+00,6.595352888107299805e-01
1.394245982170104980e+00,6.448689699172973633e-01
1.397536039352416992e+00,6.507265567779541016e-01
1.386331081390380859e+00,6.497870087623596191e-01
1.374637126922607422e+00,6.473905444145202637e-01
1.395561695098876953e+00,6.542286872863769531e-01
1.387609004974365234e+00,6.546006798744201660e-01
1.386943817138671875e+00,6.506681442260742188e-01
1.400460243225097656e+00,6.525676250457763672e-01
1.370465755462646484e+00,6.499385833740234375e-01
1.379179120063781738e+00,6.778266429901123047e-01
1.369560003280639648e+00,6.537020206451416016e-01
1.378863334655761719e+00,6.545990109443664551e-01
1.372168779373168945e+00,6.610734462738037109e-01
1.371378302574157715e+00,6.617331504821777344e-01
1.381417989730834961e+00,6.524993181228637695e-01
1.376640558242797852e+00,6.607109904289245605e-01
1.355022668838500977e+00,6.575720906257629395e-01
1.372274875640869141e+00,6.625788211822509766e-01
1.375193119049072266e+00,6.592101454734802246e-01
1.378713607788085938e+00,6.521811485290527344e-01
1.389826536178588867e+00,6.511671543121337891e-01
1.392659068107604980e+00,6.533632278442382812e-01
1.372725009918212891e+00,6.565899848937988281e-01
1.399375677108764648e+00,6.508359909057617188e-01
1.391674757003784180e+00,6.517297029495239258e-01
1.365934133529663086e+00,6.556190252304077148e-01
1.387461304664611816e+00,6.539420485496520996e-01
1.380385279655456543e+00,6.546781063079833984e-01
1.374730825424194336e+00,6.539927721023559570e-01
1.373450756072998047e+00,6.595056653022766113e-01
1.365583181381225586e+00,6.578495502471923828e-01
1.388442158699035645e+00,6.578985452651977539e-01
1.382426381111145020e+00,6.590160131454467773e-01
1.372644186019897461e+00,6.597651243209838867e-01
1.388128519058227539e+00,6.521824002265930176e-01
1.380089521408081055e+00,6.582838296890258789e-01
1.373311758041381836e+00,6.581181287765502930e-01
